Configured with email username  None , password  False
_sa_instance_state, elasticsearch, id, intensity, negativity, position, recommended, timestamp, url, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dca00>","31","691","0","0","0","1","2021-08-09 13:49:17.845159","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/15/4","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dcac0>","24","692","1","0","1","1","2021-08-09 13:49:19.068275","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/9/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dcb80>","22","693","0","1","2","1","2021-08-09 13:49:19.383308","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/17/2","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dcc40>","23","694","0","0","3","1","2021-08-09 13:49:20.479815","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1328/articles/1423252/46/4","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dcd00>","16","695","0","0","4","1","2021-08-09 13:49:20.767252","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/26/1","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dcdc0>","24","696","1","0","5","1","2021-08-09 13:49:21.860487","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/9/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dce80>","38","697","1","2","0","1","2021-08-09 13:50:35.245404","https://www.nrc.nl/nieuws/2021/08/08/taliban-claimen-kunduz-te-hebben-veroverd-op-afghaanse-leger-a4054084#20210809-79741-104","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8dcf40>","37","698","0","1","1","1","2021-08-09 13:50:36.263488","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/4/2","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4040>","11","699","0","0","2","1","2021-08-09 13:50:36.853919","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1328/articles/1423252/2/4","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4100>","3","700","0","0","3","1","2021-08-09 13:50:37.153558","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/2/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e41c0>","23","701","0","0","4","1","2021-08-09 13:50:37.180562","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1328/articles/1423252/46/4","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4280>","22","702","0","1","5","1","2021-08-09 13:50:37.461642","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/17/2","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4340>","19","703","0","0","0","1","2021-08-09 13:53:07.038482","https://www.nrc.nl/nieuws/2021/08/08/emotionele-messi-neemt-afscheid-bij-fc-barcelona-a4054087#20210809-79741-102","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4400>","42","704","0","1","1","1","2021-08-09 13:53:07.825261","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/6/1","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e44c0>","38","705","1","2","2","1","2021-08-09 13:53:08.690604","https://www.nrc.nl/nieuws/2021/08/08/taliban-claimen-kunduz-te-hebben-veroverd-op-afghaanse-leger-a4054084#20210809-79741-104","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4580>","37","706","0","1","3","1","2021-08-09 13:53:10.408923","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/4/2","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4640>","11","707","0","0","4","1","2021-08-09 13:53:11.247030","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1328/articles/1423252/2/4","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4700>","16","708","0","0","5","1","2021-08-09 13:53:12.295431","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/26/1","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e47c0>","37","709","0","1","0","1","2021-08-09 14:32:33.101914","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/4/2","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4880>","18","710","0","0","1","1","2021-08-09 14:32:34.208574","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/14/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4940>","27","711","0","0","2","1","2021-08-09 14:32:34.230862","https://www.nrc.nl/nieuws/2021/08/06/het-gespierde-ideaalbeeld-werkt-anabolengebruik-in-de-hand-ik-moet-meer-spieren-meer-meer-meer-a4053966#20210809-79741-110","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4a00>","38","712","1","2","3","1","2021-08-09 14:32:35.118536","https://www.nrc.nl/nieuws/2021/08/08/taliban-claimen-kunduz-te-hebben-veroverd-op-afghaanse-leger-a4054084#20210809-79741-104","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4ac0>","24","713","1","0","4","1","2021-08-09 14:32:35.536265","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/9/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4b80>","21","714","0","1","5","1","2021-08-09 14:32:36.149908","https://www.nrc.nl/nieuws/2021/08/08/experts-anabolenhandel-onvoldoende-aangepakt-a4054157#20210809-79741-102","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4c40>","55","715","0","1","0","1","2021-08-10 10:28:07.608084","https://www.nrc.nl/nieuws/2021/08/09/nageeye-viert-zijn-grootste-succes-in-de-allerzwaarste-race-a4054143#20210809-79741-301","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4d00>","17","716","0","0","1","1","2021-08-10 10:28:08.919601","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=8c397612bedfac4bd3d8#/pages/4-5","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4dc0>","64","717","0","0","2","1","2021-08-10 10:28:09.519208","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1329/articles/1423949/2/1","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4e80>","10","718","0","0","3","1","2021-08-10 10:28:11.264025","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=1409f30a459dac139f39#/pages/12-13","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e4f40>","72","719","0","0","4","1","2021-08-10 10:28:11.969080","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/41/1","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9040>","73","720","1","2","5","1","2021-08-10 10:28:13.099573","https://www.nrc.nl/nieuws/2021/08/08/taliban-claimen-kunduz-te-hebben-veroverd-op-afghaanse-leger-a4054084#20210809-79741-104","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9100>","78","721","1","1","0","1","2021-08-10 10:35:45.384076","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25557/articles/1423952/35/2","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e91c0>","17","722","0","0","1","1","2021-08-10 10:35:45.828247","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=8c397612bedfac4bd3d8#/pages/4-5","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9280>","55","723","0","1","2","1","2021-08-10 10:35:46.734338","https://www.nrc.nl/nieuws/2021/08/09/nageeye-viert-zijn-grootste-succes-in-de-allerzwaarste-race-a4054143#20210809-79741-301","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9340>","88","724","0","0","3","1","2021-08-10 10:35:47.755035","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/8/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9400>","65","725","0","0","4","1","2021-08-10 10:35:48.308276","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/10/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e94c0>","23","726","0","0","5","1","2021-08-10 10:35:48.886499","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1328/articles/1423252/2/4","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9580>","49","727","0","0","0","1","2021-08-10 10:44:02.674828","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25557/articles/1423952/15/3","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9640>","73","728","1","2","1","1","2021-08-10 10:44:03.339170","https://www.nrc.nl/nieuws/2021/08/08/taliban-claimen-kunduz-te-hebben-veroverd-op-afghaanse-leger-a4054084#20210809-79741-104","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9700>","14","729","0","0","2","1","2021-08-10 10:44:03.898087","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=b1ce207e3c0648a582e2#/pages/30","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e97c0>","10","730","0","0","3","1","2021-08-10 10:44:05.222568","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=1409f30a459dac139f39#/pages/12-13","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9880>","45","731","0","0","4","1","2021-08-10 10:44:06.373385","https://www.nrc.nl/nieuws/2021/08/06/het-gespierde-ideaalbeeld-werkt-anabolengebruik-in-de-hand-ik-moet-meer-spieren-meer-meer-meer-a4053966#20210809-79741-110","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9940>","33","732","0","1","5","1","2021-08-10 10:44:08.906287","https://www.nrc.nl/nieuws/2021/08/08/experts-anabolenhandel-onvoldoende-aangepakt-a4054157#20210809-79741-102","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9a00>","73","733","1","2","0","1","2021-08-10 11:47:19.212342","https://www.nrc.nl/nieuws/2021/08/08/taliban-claimen-kunduz-te-hebben-veroverd-op-afghaanse-leger-a4054084#20210809-79741-104","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9ac0>","85","734","0","0","1","1","2021-08-10 11:47:20.479169","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/8/6","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9b80>","81","735","0","0","2","1","2021-08-10 11:47:20.650553","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/40/5","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9c40>","82","736","0","1","3","1","2021-08-10 11:47:21.307360","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25557/articles/1423952/31/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9d00>","10","737","0","0","4","1","2021-08-10 11:47:22.362141","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=1409f30a459dac139f39#/pages/12-13","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9dc0>","30","738","0","0","5","1","2021-08-10 11:47:23.288366","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/14/3","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9e80>","66","739","0","0","0","1","2021-08-10 11:48:10.584213","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=298d151db3fb78253dc5#/pages/20-21","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8e9f40>","86","740","0","0","1","1","2021-08-10 11:48:11.486818","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=56c2b31106c9efd86c49#/pages/8-9","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1040>","45","741","0","0","2","1","2021-08-10 11:48:11.699728","https://www.nrc.nl/nieuws/2021/08/06/het-gespierde-ideaalbeeld-werkt-anabolengebruik-in-de-hand-ik-moet-meer-spieren-meer-meer-meer-a4053966#20210809-79741-110","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1100>","33","742","0","1","3","1","2021-08-10 11:48:11.855861","https://www.nrc.nl/nieuws/2021/08/08/experts-anabolenhandel-onvoldoende-aangepakt-a4054157#20210809-79741-102","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f11c0>","12","743","0","0","4","1","2021-08-10 11:48:12.929687","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25557/articles/1423952/2/8","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1280>","67","744","1","0","5","1","2021-08-10 11:48:13.507056","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/13/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1340>","31","745","0","0","0","1","2021-08-10 11:48:21.963067","https://www.nrc.nl/nieuws/2021/08/08/emotionele-messi-neemt-afscheid-bij-fc-barcelona-a4054087#20210809-79741-102","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1400>","5","746","0","1","1","1","2021-08-10 11:48:22.429951","https://www.nrc.nl/nieuws/2021/08/06/fc-messi-leefde-op-de-pof-maar-in-barcelona-is-creatief-boekhouden-verleden-tijd-a4053993#20210809-79741-306","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f14c0>","45","747","0","0","2","1","2021-08-10 11:48:23.721519","https://www.nrc.nl/nieuws/2021/08/06/het-gespierde-ideaalbeeld-werkt-anabolengebruik-in-de-hand-ik-moet-meer-spieren-meer-meer-meer-a4053966#20210809-79741-110","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1580>","4","748","0","0","3","1","2021-08-10 11:48:24.328169","https://www.nrc.nl/nieuws/2021/08/08/geen-afghaan-gelooft-nog-in-goede-afloop-a4054118#20210809-79741-101","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1640>","88","749","0","0","4","1","2021-08-10 11:48:24.802668","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/8/3","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1700>","78","750","1","1","5","1","2021-08-10 11:48:25.610922","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25557/articles/1423952/35/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f17c0>","41","751","0","0","0","1","2021-08-10 11:57:40.685049","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1329/articles/1423949/1/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1880>","3","752","0","0","1","1","2021-08-10 11:57:41.015926","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/2/3","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1940>","10","753","0","0","2","1","2021-08-10 11:57:41.733706","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=1409f30a459dac139f39#/pages/12-13","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1a00>","67","754","1","0","3","1","2021-08-10 11:57:42.206610","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/13/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1ac0>","66","755","0","0","4","1","2021-08-10 11:57:42.922492","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=298d151db3fb78253dc5#/pages/20-21","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1b80>","18","756","0","1","5","1","2021-08-10 11:57:43.752608","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/13/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1c40>","52","757","0","0","0","1","2021-08-10 12:03:59.194084","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/15/4","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1d00>","85","758","0","0","1","1","2021-08-10 12:04:00.428619","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/8/6","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1dc0>","14","759","0","0","2","1","2021-08-10 12:04:01.743927","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=b1ce207e3c0648a582e2#/pages/30","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1e80>","38","760","1","0","3","1","2021-08-10 12:04:02.626479","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/9/3","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f1f40>","56","761","0","0","4","1","2021-08-10 12:04:02.695502","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/29/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9040>","13","762","0","1","5","1","2021-08-10 12:04:03.162828","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25557/articles/1423952/35/6","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9100>","81","763","0","0","0","1","2021-08-10 12:06:01.993043","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/40/5","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f91c0>","19","764","0","0","1","1","2021-08-10 12:06:02.592097","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/2/9","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f92b0>","67","765","1","0","2","1","2021-08-10 12:06:03.329531","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/13/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9370>","82","766","0","1","3","1","2021-08-10 12:06:04.023616","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25557/articles/1423952/31/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9430>","66","767","0","0","4","1","2021-08-10 12:06:04.726639","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=298d151db3fb78253dc5#/pages/20-21","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f94f0>","66","768","0","0","5","1","2021-08-10 12:06:06.289879","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=298d151db3fb78253dc5#/pages/20-21","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f95b0>","4","769","0","0","0","1","2021-08-10 12:06:12.870172","https://www.nrc.nl/nieuws/2021/08/08/geen-afghaan-gelooft-nog-in-goede-afloop-a4054118#20210809-79741-101","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9670>","37","770","0","0","1","1","2021-08-10 12:06:12.902592","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1328/articles/1423252/46/4","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9730>","38","771","1","0","2","1","2021-08-10 12:06:14.335129","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/9/3","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f97f0>","53","772","0","1","3","1","2021-08-10 12:06:14.728744","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/10/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f98b0>","52","773","0","0","4","1","2021-08-10 12:06:15.198065","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/15/4","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9970>","46","774","0","0","5","1","2021-08-10 12:06:15.613954","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1328/articles/1423252/10/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9a30>","66","775","0","0","0","1","2021-08-10 12:06:20.464725","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=298d151db3fb78253dc5#/pages/20-21","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9af0>","14","776","0","0","1","1","2021-08-10 12:06:20.946392","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=b1ce207e3c0648a582e2#/pages/30","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9bb0>","9","777","0","0","2","1","2021-08-10 12:06:21.314816","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1329/articles/1423949/8/5","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9c70>","70","778","0","1","3","1","2021-08-10 12:06:21.662790","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/10/5","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9d30>","67","779","1","0","4","1","2021-08-10 12:06:22.024687","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/13/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9df0>","25","780","0","0","5","1","2021-08-10 12:06:22.334798","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/2/4","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9eb0>","86","781","0","0","0","1","2021-08-10 12:11:36.554023","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=56c2b31106c9efd86c49#/pages/8-9","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8f9f70>","73","782","1","2","1","1","2021-08-10 12:11:39.170427","https://www.nrc.nl/nieuws/2021/08/08/taliban-claimen-kunduz-te-hebben-veroverd-op-afghaanse-leger-a4054084#20210809-79741-104","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff070>","56","783","0","0","2","1","2021-08-10 12:11:39.454891","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/29/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff130>","41","784","0","0","3","1","2021-08-10 12:11:39.540622","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1329/articles/1423949/1/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff1f0>","10","785","0","0","4","1","2021-08-10 12:11:39.828844","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=1409f30a459dac139f39#/pages/12-13","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff2b0>","18","786","0","1","5","1","2021-08-10 12:11:39.858069","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/13/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff370>","62","787","0","0","0","1","2021-08-10 12:24:52.423989","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/11/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff430>","6","788","0","0","1","1","2021-08-10 12:24:52.677958","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=af6fee057698046a408a#/pages/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff4f0>","5","789","0","1","2","1","2021-08-10 12:24:52.995381","https://www.nrc.nl/nieuws/2021/08/06/fc-messi-leefde-op-de-pof-maar-in-barcelona-is-creatief-boekhouden-verleden-tijd-a4053993#20210809-79741-306","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff5b0>","31","790","0","0","3","1","2021-08-10 12:24:53.185074","https://www.nrc.nl/nieuws/2021/08/08/emotionele-messi-neemt-afscheid-bij-fc-barcelona-a4054087#20210809-79741-102","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff670>","67","791","1","0","4","1","2021-08-10 12:24:53.205904","https://krant.trouw.nl/titles/trouw/8321/publications/1324/articles/1423951/13/2","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff730>","66","792","0","0","5","1","2021-08-10 12:24:54.143413","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=298d151db3fb78253dc5#/pages/20-21","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff7f0>","3","793","0","0","0","1","2021-08-10 12:34:24.516105","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/2/3","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff8b0>","64","794","0","0","1","1","2021-08-10 12:34:25.310145","https://krant.volkskrant.nl/titles/volkskrant/7929/publications/1329/articles/1423949/2/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ff970>","52","795","0","0","2","1","2021-08-10 12:34:25.790759","https://krant.ad.nl/titles/algemeendagblad/7908/publications/25539/articles/1423256/15/4","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ffa30>","55","796","0","1","3","1","2021-08-10 12:34:26.675949","https://www.nrc.nl/nieuws/2021/08/09/nageeye-viert-zijn-grootste-succes-in-de-allerzwaarste-race-a4054143#20210809-79741-301","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ffaf0>","6","797","0","0","4","1","2021-08-10 12:34:26.887785","https://digitalekrant.telegraaf.nl/static/cci/index.html?epub=https://digitalekrant.telegraaf.nl/cdn/premium/d083fad4c99234e06fc6b8bb79bc6d11/web/OPS/cciobjects.json&hash=af6fee057698046a408a#/pages/1","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f145f8ffbb0>","38","798","1","0","5","1","2021-08-10 12:34:27.171516","https://krant.trouw.nl/titles/trouw/8321/publications/1323/articles/1423254/9/3","None",
